,Area,Item Code,Item,Value
888,Maldives,21057,Average dietary energy requirement (kcal/cap/day),2493.0
891,Mali,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2227.7
896,Mali,21057,Average dietary energy requirement (kcal/cap/day),2196.0
899,Malta,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",44395.3
904,Malta,21057,Average dietary energy requirement (kcal/cap/day),2516.0
907,Marshall Islands,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3806.2
912,Marshall Islands,21057,Average dietary energy requirement (kcal/cap/day),
915,Mauritania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5090.0
920,Mauritania,21057,Average dietary energy requirement (kcal/cap/day),2250.0
923,Mauritius,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",20244.2
928,Mauritius,21057,Average dietary energy requirement (kcal/cap/day),2444.0
931,Mexico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",18544.7
936,Mexico,21057,Average dietary energy requirement (kcal/cap/day),2391.0
939,Micronesia (Federated States of),22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3226.1
944,Micronesia (Federated States of),21057,Average dietary energy requirement (kcal/cap/day),2258.0
947,Mongolia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",11708.4
952,Mongolia,21057,Average dietary energy requirement (kcal/cap/day),2307.0
955,Montenegro,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",20566.8
960,Montenegro,21057,Average dietary energy requirement (kcal/cap/day),2478.0
963,Morocco,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",7412.7
968,Morocco,21057,Average dietary energy requirement (kcal/cap/day),2377.0
971,Mozambique,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",1221.8
976,Mozambique,21057,Average dietary energy requirement (kcal/cap/day),2151.0
979,Myanmar,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3955.0
984,Myanmar,21057,Average dietary energy requirement (kcal/cap/day),2311.0
987,Namibia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",8925.2
992,Namibia,21057,Average dietary energy requirement (kcal/cap/day),2267.0
995,Nauru,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",13747.3
1000,Nauru,21057,Average dietary energy requirement (kcal/cap/day),
1003,Nepal,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3878.4
1008,Nepal,21057,Average dietary energy requirement (kcal/cap/day),2271.0
1011,Netherlands,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",56761.0
1016,Netherlands,21057,Average dietary energy requirement (kcal/cap/day),2577.0
1023,New Caledonia,21057,Average dietary energy requirement (kcal/cap/day),2339.0
1026,New Zealand,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",43301.4
1031,New Zealand,21057,Average dietary energy requirement (kcal/cap/day),2482.0
1034,Nicaragua,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5763.4
1039,Nicaragua,21057,Average dietary energy requirement (kcal/cap/day),2303.0
1042,Niger,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",1192.3
1047,Niger,21057,Average dietary energy requirement (kcal/cap/day),
1050,Nigeria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",4969.2
1055,Nigeria,21057,Average dietary energy requirement (kcal/cap/day),2193.0
1062,Niue,21057,Average dietary energy requirement (kcal/cap/day),
1065,North Macedonia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",16464.3
1070,North Macedonia,21057,Average dietary energy requirement (kcal/cap/day),2503.0
1073,Norway,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",65688.6
1078,Norway,21057,Average dietary energy requirement (kcal/cap/day),2552.0
1085,Oman,21057,Average dietary energy requirement (kcal/cap/day),2496.0
1088,Pakistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5350.1
1093,Pakistan,21057,Average dietary energy requirement (kcal/cap/day),2250.0
1100,Palau,21057,Average dietary energy requirement (kcal/cap/day),
1103,Palestine,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5643.1
1108,Palestine,21057,Average dietary energy requirement (kcal/cap/day),2244.0
1111,Panama,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",28837.0
1116,Panama,21057,Average dietary energy requirement (kcal/cap/day),2304.0
1119,Papua New Guinea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",4046.4
1124,Papua New Guinea,21057,Average dietary energy requirement (kcal/cap/day),2218.0
1127,Paraguay,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",12721.6
1132,Paraguay,21057,Average dietary energy requirement (kcal/cap/day),2371.0
1135,Peru,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",12648.2
1140,Peru,21057,Average dietary energy requirement (kcal/cap/day),2312.0
1143,Philippines,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",8301.2
1148,Philippines,21057,Average dietary energy requirement (kcal/cap/day),2258.0
1151,Poland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",34363.0
1156,Poland,21057,Average dietary energy requirement (kcal/cap/day),2501.0
1159,Portugal,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",33514.3
1164,Portugal,21057,Average dietary energy requirement (kcal/cap/day),2493.0
1171,Puerto Rico,21057,Average dietary energy requirement (kcal/cap/day),2499.0
1174,Qatar,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",85128.2
1179,Qatar,21057,Average dietary energy requirement (kcal/cap/day),2686.0
1182,Republic of Korea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",44116.0
1187,Republic of Korea,21057,Average dietary energy requirement (kcal/cap/day),2461.0
1190,Republic of Moldova,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",14233.9
1195,Republic of Moldova,21057,Average dietary energy requirement (kcal/cap/day),
1198,Romania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",30854.6
1203,Romania,21057,Average dietary energy requirement (kcal/cap/day),2488.0
1206,Russian Federation,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",27969.7
1211,Russian Federation,21057,Average dietary energy requirement (kcal/cap/day),2447.0
1214,Rwanda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2270.2
1219,Rwanda,21057,Average dietary energy requirement (kcal/cap/day),2216.0
1222,Saint Kitts and Nevis,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",23899.9
1227,Saint Kitts and Nevis,21057,Average dietary energy requirement (kcal/cap/day),1889.0
1230,Saint Lucia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",12790.3
1235,Saint Lucia,21057,Average dietary energy requirement (kcal/cap/day),2506.0
1238,Saint Vincent and the Grenadines,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",12763.1
1243,Saint Vincent and the Grenadines,21057,Average dietary energy requirement (kcal/cap/day),2473.0
1246,Samoa,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5844.2
1251,Samoa,21057,Average dietary energy requirement (kcal/cap/day),2354.0
1254,Sao Tome and Principe,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",4046.9
1259,Sao Tome and Principe,21057,Average dietary energy requirement (kcal/cap/day),2255.0
1262,Saudi Arabia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",45104.3
1267,Saudi Arabia,21057,Average dietary energy requirement (kcal/cap/day),2430.0
1270,Senegal,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3430.4
1275,Senegal,21057,Average dietary energy requirement (kcal/cap/day),2253.0
1278,Serbia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",19761.6
1283,Serbia,21057,Average dietary energy requirement (kcal/cap/day),2495.0
1286,Seychelles,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",27159.7
1291,Seychelles,21057,Average dietary energy requirement (kcal/cap/day),2383.0
1294,Sierra Leone,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",1653.2
1299,Sierra Leone,21057,Average dietary energy requirement (kcal/cap/day),2235.0
1302,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",106032.0
1307,Singapore,21057,Average dietary energy requirement (kcal/cap/day),2472.0
1310,Slovakia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",31498.1
1315,Slovakia,21057,Average dietary energy requirement (kcal/cap/day),2535.0
1318,Slovenia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",39969.8
1323,Slovenia,21057,Average dietary energy requirement (kcal/cap/day),2487.0
1326,Solomon Islands,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2417.7
1331,Solomon Islands,21057,Average dietary energy requirement (kcal/cap/day),2166.0
1334,Somalia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",1185.6
1339,Somalia,21057,Average dietary energy requirement (kcal/cap/day),2195.0
1342,South Africa,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",13126.0
1347,South Africa,21057,Average dietary energy requirement (kcal/cap/day),2415.0
1354,South Sudan,21057,Average dietary energy requirement (kcal/cap/day),2210.0
1357,Spain,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",38097.8
1362,Spain,21057,Average dietary energy requirement (kcal/cap/day),2502.0
1365,Sri Lanka,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",12859.3
1370,Sri Lanka,21057,Average dietary energy requirement (kcal/cap/day),2294.0
1373,Sudan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3838.7
1378,Sudan,21057,Average dietary energy requirement (kcal/cap/day),2229.0
1381,Suriname,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",15179.1
1386,Suriname,21057,Average dietary energy requirement (kcal/cap/day),2381.0
1389,Sweden,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",53050.3
1394,Sweden,21057,Average dietary energy requirement (kcal/cap/day),2529.0
1397,Switzerland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",70792.7
1402,Switzerland,21057,Average dietary energy requirement (kcal/cap/day),2552.0
1409,Syrian Arab Republic,21057,Average dietary energy requirement (kcal/cap/day),2344.0
1412,Tajikistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3903.5
1417,Tajikistan,21057,Average dietary energy requirement (kcal/cap/day),
1420,Thailand,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",17485.5
1425,Thailand,21057,Average dietary energy requirement (kcal/cap/day),2443.0
1428,Timor-Leste,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",4021.1
1433,Timor-Leste,21057,Average dietary energy requirement (kcal/cap/day),2190.0
1436,Togo,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2166.6
1441,Togo,21057,Average dietary energy requirement (kcal/cap/day),2243.0
1448,Tokelau,21057,Average dietary energy requirement (kcal/cap/day),
1455,Tonga,21057,Average dietary energy requirement (kcal/cap/day),2389.0
1458,Trinidad and Tobago,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",24456.8
1463,Trinidad and Tobago,21057,Average dietary energy requirement (kcal/cap/day),2427.0
1466,Tunisia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",10554.1
1471,Tunisia,21057,Average dietary energy requirement (kcal/cap/day),2347.0
1474,Türkiye,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",31252.1
1479,Türkiye,21057,Average dietary energy requirement (kcal/cap/day),2403.0
